email_content,label
"Hello, I hope you're having a great day!",ham
Win a free iPhone now by clicking this link!,spam
Meeting scheduled for tomorrow at 10 AM.,ham
Congratulations! You've won a $1000 gift card.,spam
Are you available for a call this afternoon?,ham
Get cheap loans with no credit check!,spam
Don't forget to submit your report by the end of the day.,ham
Exclusive offer: Buy one get one free!,spam
Can you please send me the updated document?,ham
Your account has been suspended. Click here to reactivate.,spam
Looking forward to seeing you at the conference.,ham
Claim your prize now by entering your details!,spam
Please review the attached file and let me know your thoughts.,ham
Earn $5000 a week working from home!,spam
Let's have lunch tomorrow to discuss the project.,ham
Urgent: Your invoice is overdue. Pay now to avoid penalties.,spam
Can you help me with this task?,ham
Lowest prices on prescription drugs! Order now!,spam
Thank you for your help with the presentation.,ham
Congratulations! You have been selected for a free vacation.,spam
Don't forget our meeting at 3 PM.,ham
Get a new credit card with no annual fee!,spam
Attached is the file you requested.,ham
You've been pre-approved for a loan!,spam
Please find the agenda for the meeting attached.,ham
Claim your free trial today!,spam
Can you send me the contact details for the client?,ham
Get rich quick with this amazing investment opportunity!,spam
Thank you for your feedback.,ham
Your subscription is about to expire. Renew now!,spam
Looking forward to your presentation.,ham
Earn money fast with this simple trick!,spam
Please let me know if you have any questions.,ham
Your account has been credited with $500.,spam
Can you review this document before we send it out?,ham
Congratulations! You've won a brand new car.,spam
Are you free for a meeting on Friday?,ham
Limited time offer: Buy now and save 50%!,spam
Thank you for your assistance with the project.,ham
Get a free gift card with your purchase!,spam
Can you please provide me with an update on the project?,ham
Your package is ready for pickup.,spam
I appreciate your quick response.,ham
Click here to see if you qualify for a loan.,spam
Looking forward to your feedback.,ham
Win big with this amazing lottery!,spam
Please let me know if you need any further information.,ham
Unlock exclusive discounts now!,spam
Attached is the updated version of the document.,ham
Get your free sample today!,spam
Thank you for the update.,ham
Congratulations! You've been chosen to receive a free gift.,spam
Can you join the call at 2 PM?,ham
Earn $1000 by completing surveys!,spam
Looking forward to working with you.,ham
Your account has been locked. Verify now to unlock.,spam
Please find the attached report for your review.,ham
Get instant approval for a credit card!,spam
Thank you for your cooperation.,ham
Win a vacation package for two!,spam
Don't forget to send me the file.,ham
Limited time offer: Sign up now and save!,spam
Can you help me finalize this presentation?,ham
Claim your exclusive discount today!,spam
Looking forward to our meeting next week.,ham
Earn cash rewards by shopping online!,spam
Please see the attached document for details.,ham
Your order has been shipped.,spam
Thank you for your prompt response.,ham
Click here to claim your prize.,spam
Are you available for a meeting tomorrow?,ham
Get a personal loan with low interest rates!,spam
Attached is the budget report for Q2.,ham
Congratulations! You're a winner!,spam
Can you review the attached proposal?,ham
Limited time offer: Free shipping on all orders!,spam
Thank you for your understanding.,ham
Get exclusive access to premium content!,spam
Looking forward to hearing from you.,ham
Win a free gift card now!,spam
Please confirm your availability for the meeting.,ham
Unlock premium features with our special offer!,spam
Thank you for your support.,ham
Click here to see your eligibility for a credit card.,spam
Can you please send me the details?,ham
Claim your free gift now!,spam
Your help is greatly appreciated.,ham
Win a $500 shopping spree!,spam
Looking forward to collaborating with you.,ham
Get a discount on your next purchase!,spam
Please let me know if you need anything else.,ham
Claim your reward by clicking here!,spam
